Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
61,Animal Crossing,Series,Nintendo,37.83m,N/A,N/A,N/A,N/A,N/A,16th Sep 02
62,Mario Kart Wii,Wii,Nintendo,37.24m,N/A,N/A,N/A,N/A,N/A,27th Apr 08
63,World of WarCraft,Series,Unknown,36.90m,N/A,N/A,N/A,N/A,N/A,N/A
64,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation,36.60m,N/A,N/A,N/A,N/A,N/A,21st Dec 17
65,God of War,Series,Sony Computer Entertainment,35.05m,N/A,N/A,N/A,N/A,N/A,22nd Mar 05
66,Mega Man,Series,Capcom,35.00m,N/A,N/A,N/A,N/A,N/A,17th Dec 87
67,NBA Live,Series,EA Sports,35.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 94
68,Brain Age,Series,Nintendo,33.89m,N/A,N/A,N/A,N/A,N/A,16th Apr 06
69,Minecraft,PC,Mojang,33.15m,N/A,N/A,N/A,N/A,N/A,10th May 10
70,Wii Sports Resort,Wii,Nintendo,33.11m,N/A,N/A,N/A,N/A,N/A,26th Jul 09
71,Half-life,Series,Sierra Studios,33.10m,N/A,N/A,N/A,N/A,N/A,19th Nov 98
72,Lego Star Wars,Series,Eidos Interactive,33.00m,N/A,N/A,N/A,N/A,N/A,29th Mar 05
73,Pokémon Red / Green / Blue Version,GB,Nintendo,31.38m,N/A,N/A,N/A,N/A,N/A,30th Sep 98
74,Tom Clancy's Splinter Cell,Series,Ubisoft,31.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 02
75,Age of Empires,Series,Microsoft,30.82m,N/A,N/A,N/A,N/A,N/A,15th Oct 97
76,New Super Mario Bros.,DS,Nintendo,30.80m,N/A,N/A,N/A,N/A,N/A,15th May 06
77,New Super Mario Bros. Wii,Wii,Nintendo,30.28m,N/A,N/A,N/A,N/A,N/A,15th Nov 09
78,Tetris,GB,Nintendo,30.26m,N/A,N/A,N/A,N/A,N/A,01st Jun 89
79,Tony Hawk's,Series,Activision,30.12m,N/A,N/A,N/A,N/A,N/A,29th Sep 99
